crossing-minimization-problem;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;240,01;0,07;240,00;53,97;0,83;;37;;37;37
p2;240,00;0,06;240,00;56,37;0,51;;25;;25;25
p3;0,40;0,05;240,00;5,42;0,30;;9;;9;9
p4;240,00;4,00;240,00;240,00;2,93;;57;;;57
p5;240,00;0,37;240,00;240,00;2,12;;57;57;;57
p6;3,11;0,04;240,00;16,60;0,65;;25;;25;25
p7;240,01;0,09;240,00;47,95;1,18;57;34;;34;34
p8;240,01;0,48;240,01;92,17;2,00;;40;;40;40
p9;240,01;10,25;240,01;240,01;3,19;;52;;;52
p10;48,81;0,11;240,00;17,98;1,91;;23;52;23;23
longest-path-problem;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;240,01;180,16;101,85;82,94;0,79;;414000;;414000;414
p2;122,04;240,01;93,56;1,90;2,84;;451000;;451000;451
p3;177,52;95,30;58,51;1,19;2,21;;389000;;389000;389
p4;240,01;240,01;94,97;240,01;3,19;;449000;;447000;447
p5;146,14;240,01;92,08;172,90;1,39;;474000;;467000;467
p6;136,41;240,01;59,39;23,38;1,81;;401000;;397000;397
p7;139,25;19,58;72,37;42,83;3,15;;368000;;368000;368
p8;161,15;240,00;61,71;27,04;1,75;;462000;;459000;459
p9;102,14;240,01;56,36;9,46;1,86;;356000;397000;356000;356
p10;236,21;240,01;146,02;0,88;2,05;;467000;;405000;405
max-cut-problem;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;145,14;10,41;240,01;6,03;3,77;;62000;;62000;62
p2;240,01;8,95;240,02;9,41;1,56;;75000;;75000;75
p3;240,01;240,01;240,01;3,74;1,57;;159000;;156000;156
p4;240,02;240,02;230,55;13,26;2,80;;214000;;204000;204
p5;240,01;240,01;240,01;10,62;2,95;;272000;;260000;260
p6;240,01;240,02;240,01;7,95;1,31;;156000;168000;168000;168
p7;211,80;2,11;240,01;11,82;1,16;;70000;213000;70000;70
p8;240,01;240,01;119,13;16,83;3,07;;186000;;183000;183
p9;240,01;240,01;158,40;9,30;1,75;;220000;;214000;214
p10;240,02;13,68;240,02;6,66;3,53;;81000;;81000;81
maximal-clique-problem;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;240,01;240,01;240,01;0,01;5,72;;;320;;320
p2;240,02;93,19;240,01;0,03;5,29;;242;;;242
p3;240,01;240,02;240,02;0,02;3,84;;;263;;263
p4;240,02;240,03;240,02;0,01;6,95;183000;;204000;;367
p5;240,02;240,01;240,01;0,02;5,30;367;;;;282
p6;240,01;36,66;39,36;0,01;2,42;282;181;;;181
p7;240,01;44,79;69,32;0,01;3,40;;201;;;201
p8;240,01;240,02;240,01;0,02;14,60;;;;;480
p9;240,02;240,02;240,02;0,02;7,61;;459000;;;312
p10;240,02;240,01;240,02;0,02;9,16;;;;;386
minimum-test-set-problem;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;0,04;0,03;0,04;0,02;0,12;;;;;0
p2;0,03;0,02;0,03;0,00;0,14;;;;;0
p3;0,03;0,02;0,04;0,01;0,13;;;;;0
p4;0,03;0,02;0,03;0,01;0,14;;;;;0
p5;0,04;0,02;0,03;0,01;0,14;;;;;0
p6;0,03;0,02;0,03;0,01;0,12;;;;;0
p7;0,02;0,02;0,04;0,01;0,09;;;;;0
p8;0,02;0,02;0,03;0,01;0,15;;;;;0
p9;0,04;0,03;0,05;0,01;0,17;;;;;0
p10;0,03;0,03;0,03;0,02;0,15;;;;;0
weight-bounded-dominating-set;clingo;dlv;smodels;maxmodels;lp2sat;clingo;dlv;smodels;maxmodels;lp2sat
p1;1,52;240,02;64,87;29,18;5,50;;;;;
p2;2,85;240,02;240,02;40,13;11,58;;;;;
p3;0,11;0,31;0,22;0,95;1,00;;;;;
p4;240,02;2,85;240,01;234,10;2,46;;12;;12;12
p5;240,02;23,01;240,00;240,01;10,09;;10;;312;10
p6;240,02;15,93;240,01;240,02;8,70;;10;;;10
p7;240,02;29,10;240,02;240,02;20,01;;11;10;10;11
p8;1,96;182,47;47,47;36,50;8,83;;;;;
p9;240,01;240,02;240,01;240,01;16,14;;;9;;9
p10;240,03;1,06;240,02;66,99;5,33;;10;11;10;10
